target_id,source_id,pb-mtl_rmse,predicted_rmse,spearman,meta_rmse,n_obs_su,obs_temp_mean,obs_temp_skew,obs_temp_kurt,ad_glm_strat_perc,obs_temp_mean_airdif,dif_max_depth,dif_surface_area,dif_sw_mean_au,dif_ws_mean_au,dif_lathrop_strat,dif_glm_strat_perc,perc_dif_max_depth,perc_dif_sqrt_surface_area
nhdhr_34121878,nhdhr_126212479,2.61169930298178,0.9538571249490926,0.4858290033065658,0.45662667234013626,255.0,19.739525116558266,0.8199728416962276,1.0977704896507623,0.11649555099247089,12.40272791409291,1.693,43022321.134399995,10.377133715094658,0.5158716042673159,0,-0.11649555099247089,76.90211219622984,150.38805854944587
nhdhr_34122432,nhdhr_34131191,3.2862020812996806,2.053243123939945,0.460998267989293,0.5639416038452476,1081.0,17.880750479790457,0.5445374922421958,0.6905537502829002,0.11437371663244356,10.653267316891917,4.096,-64044.960360000005,-0.6749502928904292,-0.08140341647816784,1,0.11437371663244356,101.18577075098814,42.88038851257426
nhdhr_45337659,nhdhr_47726570,2.0105596314360703,2.170815686946629,0.9617855455833727,0.5545802826081818,1168.0,10.012264439818964,1.1450971418559623,0.0477632378410906,0.03518138261464754,4.862602727936669,18.288,880613.08,-0.9917267279401756,0.9030594229532038,0,0.03518138261464754,89.55223880597016,62.659282564829134
nhdhr_45365491,nhdhr_139269431,2.42205981743713,2.3966883215669514,0.9620768382931819,0.6966122566469196,1887.0,10.852188733349292,0.8353285505950648,0.6547466869944296,0.14722792607802881,3.2998535870731,14.604,1521955.4729999998,1.5914196415284891,-0.11288779298754559,0,-0.14722792607802881,59.120718970123875,25.505739813496238
nhdhr_45730354,nhdhr_69886156,2.72514249040725,2.0006280807986276,0.7352503542749171,0.5166905837134903,1933.0,13.015595704213322,0.11436360347146955,1.1282076615942715,0.18610540725530456,8.049561895313524,-0.5343999999999998,1020539.0473,-9.731141207452993,0.4730279850316501,-1,-0.18610540725530456,6.464099090381263,47.627706061676996
nhdhr_45730422,nhdhr_91684663,2.6598748861766,2.217421043502538,0.20114155251141552,0.8948334038173891,544.0,19.144810872756697,0.7252425373557135,0.10279321921216766,0.06317590691307318,12.980721594176256,0.0,770368.9358,-6.182935283128273,0.5121202082663929,-1,-0.06317590691307318,0.0,58.35781493717869
nhdhr_45730856,nhdhr_120020805,5.485963436938679,2.5555128044983326,0.9018107384663832,2.267473352517316,1345.0,13.99490363665653,0.553458749094875,0.9647110538084629,0.017796030116358663,8.661099707111592,3.6576000000000004,85942.54720000003,-3.115158538406405,0.09414414653227254,0,0.017796030116358663,29.268292682926834,10.308721727215799
nhdhr_81642813,nhdhr_34130604,2.3411011197241898,2.492652307271794,0.9636002204377262,1.0030747495705312,2669.0,11.748103757820077,0.7443501344880421,0.6788696986595983,0.054346338124572235,4.520620594921536,-4.572000000000001,243379.41479999997,-0.2661084532605571,-0.10545452340193462,0,-0.054346338124572235,26.086956521739136,22.77869776724254
nhdhr_120017991,nhdhr_120019636,2.39746043388323,1.7598139429205133,0.7040111793418358,0.6955104585369078,475.0,18.300797969738113,0.21942736166093973,0.8987818691726157,0.13867214236824088,11.441040593484916,3.9624000000000006,4151242.2760000005,2.999485122833363,0.2664867593495699,1,-0.13867214236824088,38.805970149253746,59.232866907170376
nhdhr_120017997,nhdhr_126212479,1.59784741155644,0.801489110733687,0.42971579278853717,0.691922016921245,255.0,19.739525116558266,0.8199728416962276,1.0977704896507623,0.07145790554414783,12.40272791409291,2.048,42838964.982999995,10.438886064389635,0.6182878349153729,0,-0.07145790554414783,101.18577075098814,146.12781994936438
