target_id,source_id,meta_rmse,spearman,pb0_rmse,pgmtl_rmse,n_obs_sp,n_obs_su,dif_max_depth,dif_surface_area,dif_glm_strat_perc,perc_dif_max_depth,perc_dif_surface_area,perc_dif_sqrt_surface_area
nhdhr_eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,nhdhr_120020354,nan,1.921189668662499,2.222815844776533,2.5517605949706548,854.0,1483.0,-1.014149999999999,1605218.0999999987,0.02997946611909652,6.440243664299554,26.617723757929866,13.368323234057428
nhdhr_114542575,nhdhr_152335372,nan,1.0316e-319,1.7107695202576974,2.0748287101487484,911.0,1631.0,-2.764800000000001,1024287.456,-0.13949349760438057,12.692816218598507,66.4041837417125,34.17132699528212
nhdhr_120020636,nhdhr_120020343,nan,20880.0,1.2359470511936603,1.3433210241081113,486.0,894.0,6.400799999999999,7753131.874000001,-0.03942505133470231,82.35294117647058,145.91158549316773,86.65000125996615
nhdhr_69884058,nhdhr_45722930,nan,1e-323,3.6601816936816802,2.3514703735979725,547.0,1256.0,13.716000000000001,-562380.1174,0.18802190280629705,69.76744186046511,44.86371636378878,22.72137546595461
nhdhr_69885442,nhdhr_139268769,nan,2.5e-323,5.086348527219623,2.589328585459524,435.0,1616.0,-6.4008,-2038199.4013,-0.009993155373032248,66.66666666666666,108.6402151316836,59.05634881626934
nhdhr_69886650,nhdhr_105954753,nan,0.0,6.131020628153805,5.038672041723305,1152.0,2835.0,7.360000000000001,107639043.75999999,0.03702943189596164,38.90063424947146,101.31900170262824,54.408691028118724
nhdhr_123148239,nhdhr_143249192,nan,52.0,1.6515636412908798,1.7489430322849282,947.0,1335.0,-2.7432000000000016,-979105.1440000003,0.028131416837782308,9.137055837563457,18.004581011801296,9.020603705960713
nhdhr_69885902,nhdhr_139268769,nan,3.3583662003283257,2.6337138417115664,2.239237636619039,435.0,1616.0,-3.3528000000000002,-609650.2053,-0.006844626967830281,41.50943396226415,52.4734652187164,26.70448740637997
nhdhr_69886284,nhdhr_152335372,nan,2.846e-321,2.2930553736413,1.8247657237738437,911.0,1631.0,2.1119999999999983,-1575341.872,-0.02559890485968508,10.918114143920587,55.42452611857793,28.265784023384484
nhdhr_69886444,nhdhr_139268769,nan,576.0,1.8404530197435855,2.3590116136069708,435.0,1616.0,-13.5992,220475.9238,-0.13059548254620124,103.02112057210387,29.52423071737699,14.843427802224218
