target_id,source_ids,pb0_rmse,pgmtl_rmse,n_obs_sp,n_obs_su,dif_max_depth,dif_surface_area,dif_glm_strat_perc,perc_dif_max_depth,perc_dif_surface_area,perc_dif_sqrt_surface_area
nhdhr_{4F6A1C28-CFA9-45C9-B597-E2E6526275B8},nhdhr_nhdhr_91690341 : nhdhr_nhdhr_34129366 : nhdhr_nhdhr_91594827 : nhdhr_nhdhr_120020367 : nhdhr_nhdhr_91595845 : nhdhr_nhdhr_91683191 : nhdhr_nhdhr_91687083 : nhdhr_nhdhr_120020226 : nhdhr_nhdhr_91690129,3.00751959667875,2.1422366922687535,157.0,218.0,1.0,114218.64461,-0.08124572210814518,40.0,117.1332286946362,64.69474712944752
nhdhr_{62B48949-8CCC-4BA3-989E-AA1FE86C363D},nhdhr_nhdhr_34119718 : nhdhr_nhdhr_91594687 : nhdhr_nhdhr_91683191 : nhdhr_nhdhr_34129366 : nhdhr_nhdhr_91690341 : nhdhr_nhdhr_91594827 : nhdhr_nhdhr_120018006 : nhdhr_nhdhr_91690129 : nhdhr_nhdhr_120018071,3.5004423283916113,2.0453002650906895,1872.0,2616.0,19.9456,54198.9644,0.1671457905544148,166.5909394627823,37.07411243549302,18.699096131868874
nhdhr_120018085,nhdhr_nhdhr_32672122 : nhdhr_nhdhr_120020387 : nhdhr_nhdhr_120018129 : nhdhr_nhdhr_120018126 : nhdhr_nhdhr_143249864 : nhdhr_nhdhr_91688409 : nhdhr_nhdhr_120018090 : nhdhr_nhdhr_120020199 : nhdhr_nhdhr_91597877,3.9561600475730896,2.5365576691375002,774.0,1224.0,0.6095999999999995,426179.058,-0.06673511293634493,7.692307692307685,87.54503086166154,46.09795365619806
nhdhr_120018092,nhdhr_nhdhr_120020367 : nhdhr_nhdhr_120020211 : nhdhr_nhdhr_120018022 : nhdhr_nhdhr_143249864 : nhdhr_nhdhr_32672122 : nhdhr_nhdhr_120018071 : nhdhr_nhdhr_120018139 : nhdhr_nhdhr_91685475 : nhdhr_nhdhr_91690129,2.315438172112055,2.2256762742988765,157.0,218.0,-4.3152,84.90229999998701,-0.05475701574264202,83.66682177757096,0.054925000050313894,0.027462500542954453
nhdhr_120018098,nhdhr_nhdhr_91690129 : nhdhr_nhdhr_139268769 : nhdhr_nhdhr_120018084 : nhdhr_nhdhr_121623043 : nhdhr_nhdhr_32672122 : nhdhr_nhdhr_91687083 : nhdhr_nhdhr_120020805 : nhdhr_nhdhr_120020387 : nhdhr_nhdhr_120018097,1.964025781959362,1.7852897285568048,1033.0,1606.0,4.8768,59911.93550000002,0.05345653661875427,69.56521739130434,14.186360580658489,7.10212482206057
nhdhr_120018103,nhdhr_nhdhr_34127708 : nhdhr_nhdhr_91688409 : nhdhr_nhdhr_143249864 : nhdhr_nhdhr_120018097 : nhdhr_nhdhr_32672122 : nhdhr_nhdhr_120020367 : nhdhr_nhdhr_120018126 : nhdhr_nhdhr_120020204 : nhdhr_nhdhr_120018074,4.199008933730894,2.2694452221590833,1028.0,1831.0,4.571999999999999,66636.63890000002,0.03463381245722108,38.96103896103895,26.29970853423029,13.207197515881205
nhdhr_120018106,nhdhr_nhdhr_139268769 : nhdhr_nhdhr_120018100 : nhdhr_nhdhr_120018059 : nhdhr_nhdhr_120018140 : nhdhr_nhdhr_120018133 : nhdhr_nhdhr_120019712 : nhdhr_nhdhr_120020334 : nhdhr_nhdhr_120018459 : nhdhr_nhdhr_37648633,4.069597251451056,1.6894174592344433,504.0,918.0,1.219199999999999,338589.94440000015,0.003148528405201967,11.764705882352933,33.97697585993261,17.112864959711192
nhdhr_120018182,nhdhr_nhdhr_120018379 : nhdhr_nhdhr_120020343 : nhdhr_nhdhr_120018459 : nhdhr_nhdhr_139268769 : nhdhr_nhdhr_120018094 : nhdhr_nhdhr_34119718 : nhdhr_nhdhr_120019636 : nhdhr_nhdhr_120020800 : nhdhr_nhdhr_120018129,2.5056268979230008,1.2965620945127565,543.0,834.0,3.1816000000000004,384215.7149,0.07221081451060918,88.60421076083324,45.12433626813593,22.85685012899861
nhdhr_120020207,nhdhr_nhdhr_120020343 : nhdhr_nhdhr_139268769 : nhdhr_nhdhr_120019636 : nhdhr_nhdhr_120020208 : nhdhr_nhdhr_120018129 : nhdhr_nhdhr_120017988 : nhdhr_nhdhr_69886156 : nhdhr_nhdhr_91688775 : nhdhr_nhdhr_81002103,2.0657013037872107,1.4519583404849836,1552.0,2367.0,10.988081,1945454.9982999996,0.02073921971252568,133.64309323099923,114.90760433320008,63.18889262430325
nhdhr_120020212,nhdhr_nhdhr_139268769 : nhdhr_nhdhr_120018081 : nhdhr_nhdhr_120018129 : nhdhr_nhdhr_120020199 : nhdhr_nhdhr_69886156 : nhdhr_nhdhr_86274823 : nhdhr_nhdhr_121623126 : nhdhr_nhdhr_81002103 : nhdhr_nhdhr_120019712,1.998048479055728,1.458810573930414,935.0,1302.0,0.6096000000000004,330275.67480000015,-0.005544147843942526,7.142857142857147,36.68484935398254,18.499356123842716
nhdhr_120020213,nhdhr_nhdhr_139268769 : nhdhr_nhdhr_91597877 : nhdhr_nhdhr_167256799 : nhdhr_nhdhr_120020343 : nhdhr_nhdhr_120018114 : nhdhr_nhdhr_120019704 : nhdhr_nhdhr_34131278 : nhdhr_nhdhr_91684979 : nhdhr_nhdhr_45385910,2.4662126214969713,1.2643330865609794,1640.0,1906.0,0.6095999999999995,2354851.6043000002,-0.2822039698836414,11.764705882352933,127.805111857535,72.23952027797127
