target_id,source_id,predicted_rmse,n_obs_su,obs_temp_mean,obs_temp_skew,obs_temp_kurt,ad_glm_strat_perc,obs_temp_mean_airdif,dif_max_depth,dif_surface_area,dif_sw_mean_au,dif_ws_mean_au,dif_lathrop_strat,dif_glm_strat_perc,perc_dif_max_depth,perc_dif_sqrt_surface_area
nhdhr_32671150,nhdhr_166867866,2.62392939290916,1615.0,13.641056870078666,0.45045067154667784,1.1106289952026016,0.0529774127310062,8.119937412075924,24.079200000000004,25378560.678999998,-2.6451593265323083,0.5153476847674958,0,0.0529774127310062,81.86528497409327,79.27024267996605
nhdhr_32671162,nhdhr_34119718,0.6061411690744584,95.0,20.930794701986756,1.2370520378531114,1.8105861820955944,0.029568788501026677,14.250502373732258,-1.526933,-7163843.314000001,-2.0032675339069783,-0.023460258383863675,0,0.029568788501026677,66.83784676390168,75.40198720654729
nhdhr_32671214,nhdhr_143249413,2.3481791672540093,892.0,13.171563186602954,0.4240086815785136,1.1439573005613168,0.13045859000684468,4.9543224102055134,1.2192000000000007,361196.4715000001,0.7615206439004112,-0.02396760973649137,0,-0.13045859000684468,6.779661016949157,19.388003753524107
nhdhr_32672239,nhdhr_91683191,0.891272967159658,88.0,21.09446808510638,0.7461479859783583,0.127414341046316,0.09178644763860366,14.448268118395482,-0.9144000000000001,-4301530.788000001,-4.028175566170518,-0.03460075790567885,0,0.09178644763860366,46.15384615384615,72.4725572516405
nhdhr_32672504,nhdhr_120019636,1.8462094140441514,475.0,18.300797969738113,0.21942736166093973,0.8987818691726157,0.13210130047912383,11.441040593484916,6.4008,5087470.820400001,-1.570626889053699,-0.0412760785127162,1,-0.13210130047912383,71.1864406779661,92.27832224529384
nhdhr_32672590,nhdhr_91683191,0.6215957471731115,88.0,21.09446808510638,0.7461479859783583,0.127414341046316,0.09226557152635179,14.448268118395482,0.524,-6898334.374000001,-1.9074312517192595,-0.11425944689461787,0,0.09226557152635179,41.521394611727416,88.6334001849739
nhdhr_32732186,nhdhr_80005045,2.088529700477653,1521.0,12.803453162860839,0.08629258531022857,1.3964300648647414,0.031416837782340834,7.924981938092417,2.4383999999999997,-165474.8009999995,-7.149723133420878,0.3093573861490757,0,0.031416837782340834,18.18181818181818,2.9461527163639984
nhdhr_32732535,nhdhr_126212479,0.6948897179600443,255.0,19.739525116558266,0.8199728416962276,1.0977704896507623,0.041752224503764535,12.40272791409291,1.265826,41766238.985,11.587554151096555,-0.06914086586837964,0,-0.041752224503764535,52.41326709969454,127.71103172687248
nhdhr_34119623,nhdhr_126212479,0.7740289213965379,255.0,19.739525116558266,0.8199728416962276,1.0977704896507623,0.13963039014373713,12.40272791409291,1.8288,43194694.12109999,11.004598146321683,0.5910304406304339,0,-0.13963039014373713,85.71428571428572,154.9334329711246
nhdhr_34119747,nhdhr_120020334,1.5891694491350998,570.0,18.094305647123026,0.15705727028862648,0.6551703157745359,0.054209445585215565,11.389790749755807,2.4383999999999997,49291.102199999965,0.1740228688921377,0.042116755346147006,1,0.054209445585215565,31.999999999999996,2.8712225200807326
nhdhr_34121856,nhdhr_91595845,2.034281702084959,370.0,14.172853065467375,0.21594467639002385,1.3768428068285405,0.07241615331964413,6.840713416078831,10.2064,8922.606729999992,-0.150855760546051,-0.023007477885177874,0,0.07241615331964413,127.52898840463816,9.130664485432675
