nhd_id,pgmtl_rmse,glm_rmse,spearman,lowest_predicted,improvement
1101616,1.272963175,2.325968725,0.9190843013,1.711956527,-1.05300555
120020383,1.530020603,2.551320042,0.2331836019,2.120111441,-1.021299439
120018078,2.075113031,3.068579632,0.5599186986,1.758539544,-0.9934666001
167258106,2.479439505,3.460526655,0.8978523259,1.447428933,-0.9810871506
105953415,1.862787977,2.829243807,0.5622880327,0.7473530668,-0.9664558302
91689407,1.815105954,2.68223332,0.6057643355,1.098422355,-0.8671273669
1099282,1.586671846,2.440954903,0.8875388688,1.446575622,-0.8542830568
120020240,2.134428698,2.974123263,0.7502075615,1.60444079,-0.8396945655
13344056,1.784710318,2.604936594,0.6417116383,-0.8637307798,-0.8202262755
2723803,2.004395683,2.810462102,0.8494728721,0.6848160205,-0.8060664193
120052587,1.751142517,2.550988827,0.7020709155,0.5933179428,-0.7998463097
120018123,1.080501521,1.875233751,0.6609149938,2.164457647,-0.7947322304
2349198,1.576330341,2.333950679,0.8179196071,1.929615706,-0.7576203381
120018212,2.031627655,2.758451926,0.6565875322,0.5629407526,-0.7268242718
120019716,1.815500376,2.429442538,0.679438879,-0.3538061949,-0.6139421617
91683191,1.767985945,2.34975843,0.2553045671,2.654987077,-0.5817724847
167256807,3.286156449,3.844728745,0.3135568993,1.251641478,-0.5585722963
91690341,2.4683478,3.023952333,0.6693643135,1.563805095,-0.5556045322
91691293,2.23993926,2.757933311,0.3522906174,0.7499661944,-0.5179940505
2353946,1.758207209,2.2703345,0.5049423136,1.225616328,-0.5121272914
80005045,2.237929008,2.737054255,0.7062221456,2.318321245,-0.4991252476
75474779,1.656340056,2.124230352,0.3601564152,0.7710979194,-0.4678902964
120020354,1.737753345,2.152902486,0.9244476123,2.320363914,-0.4151491416
13344210,1.338962776,1.710986537,0.9207741653,0.03644136502,-0.3720237611
1099136,1.946749406,2.238301408,0.8772156212,1.86976844,-0.2915520017
34130489,2.804095184,3.024342811,0.2622324219,1.185295613,-0.2202476277
91685209,2.308447579,2.511663044,0.515169613,1.695896138,-0.2032154646
