target_id,single_rmse,ens_rmse,glm_rmse,glm_t_rmse
120018493,2.287504754,2.023073651,3.50878158,3.212513872
120018495,2.435471393,3.194694832,1.805760172,3.722833591
120018510,2.912761924,2.758317293,1.728562643,3.806439206
120018511,1.340697566,1.272731693,2.726063456,1.93899897
120018981,1.691849711,1.786321967,1.968791214,4.568109538
120019016,2.588034207,1.997504624,2.022812609,1.92154919
120019058,4.536807863,1.713867724,3.77392656,1.980851084
120019246,1.504912132,1.23316296,1.675025378,2.02516586
120019336,2.606622,2.440289344,3.84226143,2.335502697
120019354,2.564895871,2.851580407,3.035144041,3.206070653
120019661,4.349826016,4.389148623,3.378056996,7.611955422
120019732,3.192363537,3.035479853,4.230837208,3.873400881
120019861,3.849135334,4.298301739,4.183130492,3.767839988
120019864,2.009638018,1.982455088,3.668717754,2.224745828
120019913,3.869173247,3.683381289,3.555942521,2.847005926
120019932,2.211456659,1.664167347,4.159914745,4.176008784
120020090,1.538237922,1.258558684,1.592148165,1.480413486
120020198,2.680992195,2.477125479,3.06747206,2.341604314
120020200,2.025541734,1.740917013,4.051942536,3.204068492
120020207,1.325060257,1.123099837,5.019494577,1.615036233
120020212,2.271745742,1.596689102,4.111805235,1.992360972
120020213,1.663734031,1.464343333,3.668058528,2.292971427
120020220,1.416040872,1.361596813,3.669735134,1.942976999
120020225,2.00210469,1.783487503,3.497120941,2.062919634
120020235,1.408570047,1.142366447,3.877997882,1.633999272
120020236,1.201518851,0.9938517801,1.743305587,1.765532491
120020245,1.902535925,1.417413304,3.169052263,2.18986409
120020246,2.058093261,1.897997707,4.023326062,2.106824177
120020250,1.56064256,1.309323065,3.386392095,1.757208063
120020307,1.587700502,1.436218049,3.366361059,6.523288681
120020342,1.29241945,1.116902323,3.984845136,1.670471599
120020347,1.916633742,1.538997347,5.643772174,1.589776213
120020348,1.926080461,1.199107135,3.825488554,2.362651175
120020350,1.735494003,1.53467873,4.803005531,2.368437084
120020352,2.609775325,2.106900555,4.244213375,2.224404643
120020357,1.089586647,0.8476276427,4.115832884,2.01735179
120020359,1.812760706,1.661439645,5.169066683,2.900819982
120020360,1.215617327,1.290731204,2.637323719,1.933624087
120020364,1.183248415,1.111286631,5.306212368,2.597366904
120020366,1.423213889,0.816687936,3.67484491,1.806935103
120020370,1.873603655,1.310682679,3.529511065,3.138112397
120020376,1.43114358,0.805150139,6.828712303,1.923694899
120020379,1.708525457,1.514988517,3.026694851,2.293675003
120020388,1.888469096,1.463106142,3.204415457,1.776787251
120020392,2.50966196,1.436067646,3.239808404,2.033423202
120020396,4.309324293,4.418230564,6.408956983,2.913505256
120020398,6.000583608,6.08789277,3.057828953,2.715058639
120020567,3.660384662,2.406977569,4.098037992,2.498416804
120020636,1.303006786,1.182635126,1.801046943,1.712487227
120020759,1.044173582,1.040887225,1.336549214,1.469234657
120020798,1.715479221,1.504453698,2.561272855,2.476597144
121622394,4.005898545,2.511410352,3.987941644,3.423167975
121622760,2.388611158,2.720285718,4.213222135,2.606820215
121622916,1.972026029,1.871353672,5.29355181,2.826688768
121623004,3.30497233,3.116549195,3.244340094,2.347533607
121623268,3.480672633,2.617065714,4.943109276,2.579193502
121623301,2.387544997,1.48844504,2.745623022,2.171482182
121623808,2.061862185,1.962159897,4.711217513,2.800646612
121623866,2.957299543,2.994320968,4.050240221,3.246228016
121623871,2.613483799,1.835780115,2.965540244,2.747815325
121629875,1.725568324,1.343698138,3.57298709,2.359869111
121857622,1.884287849,1.844341913,1.958238999,3.327042429
121858926,2.101250722,1.448185832,2.087047863,2.754376707
121859009,3.854146364,3.09743138,5.493360245,4.511147091
121859022,4.22967618,3.50385429,4.316422266,3.871750893
122551004,2.461158482,2.415917355,2.166950085,2.436772983
122851099,2.038798203,2.090324227,2.533437118,3.309911097
123148239,1.84083066,1.678798537,1.735552829,1.972835448
129223861,3.637432353,2.798806734,3.949610703,3.29040153
129225129,1.535556877,1.418269543,1.912292967,2.708182031
129226232,3.14034625,3.708196093,4.087962726,3.638112724
139269433,2.200066721,1.513443982,2.089583868,2.517004134
141288146,3.027425266,2.470106498,2.465387984,2.395505646
143249221,3.657891546,3.407854327,3.387089433,1.977064124
143249294,1.644650527,1.337713144,3.532479661,2.233954497
143249464,3.724345853,4.16177513,4.457531846,3.805017547
143249522,3.196674547,2.388673191,2.426424561,2.137907947
143249705,1.393324751,1.486336124,3.528315943,1.918840763
143250015,1.525551681,1.591229408,2.044595926,3.570754915
143250529,1.72019981,1.407422516,2.205566801,1.793622643
143250615,1.868626362,1.895942386,5.611701491,3.456980662
143251029,4.641993412,2.7504928,3.446612626,2.709959752
143418975,3.853628987,2.828754943,6.12972594,2.763909227
145088870,3.468196365,2.675955984,2.34747115,1.408675748
147307413,1.192474074,1.056532201,2.881532726,2.028896672
151870593,3.107729046,2.017805231,2.022439725,2.111031103
151948642,3.464322024,2.017635702,1.881545402,2.499224517
151949390,3.610854953,1.29263228,2.263684049,3.181080444
151949888,1.866476893,1.977798049,3.318087098,2.72298578
152335370,1.446962687,1.496703071,2.938246113,2.065047655
152517931,1.579643341,1.650301956,2.51112738,3.872712104
152517995,2.684531836,2.2488546,3.911699577,2.949934441
152518175,3.641984165,2.720904294,2.782500052,4.290770385
152707734,3.079661287,2.196314736,1.747156127,1.730247314
155417639,3.81035224,4.17040186,4.911035765,3.485666393
155442361,2.534370846,3.048814829,3.143049378,3.856345023
155444180,3.620961786,4.161037968,4.984136883,3.59608445
155444215,2.027392303,2.015255876,4.380106918,2.799380391
155636540,1.836384992,1.559485101,3.775467696,2.580716674
155636695,4.943389376,3.469127943,2.216605413,5.012358088
155637270,2.33581053,1.928786864,3.137038564,1.959099578
155637595,2.786897763,2.480576381,1.624119791,2.014103655
157067854,3.78495799,2.010490528,3.374790434,1.635771422
157076137,1.809823575,1.890663657,2.957807254,1.612411261
159101724,1.745239005,1.606146523,1.611981449,2.060384568
166867846,2.697479378,2.573980674,3.060289495,3.665161833
166867852,1.715760518,1.984629905,2.904179005,2.838444303
166867860,1.727353462,1.655685802,4.001140544,2.19381366
166867865,1.961023768,1.89814195,3.242164907,2.504091378
166867869,2.676815318,2.795505332,3.047873877,3.10163924
166867872,4.287608074,3.246922053,4.122506643,3.000387946
{4EA76133-68CD-4DA8-A82B-0B568CD9C9B2},1.195637002,1.512830062,1.313901214,1.843447717
{4F6A1C28-CFA9-45C9-B597-E2E6526275B8},2.64923256,2.348255252,2.940623417,2.738948191
{62B48949-8CCC-4BA3-989E-AA1FE86C363D},2.07592342,1.5240103,2.914688278,2.542158082
{E940A362-4076-4895-A23F-1B8CCC905DEE},2.998200165,2.249911085,3.383330834,2.638737012
0b5e30c9-8c3f-401b-9931-91ac59b2662a,1.838253607,1.676930993,2.562850843,3.590234242
26F12E6A-07D1-4DC6-8BEA-980AD41B687A,1.281789991,1.743004806,2.354402666,1.946971376
adfdf197-9f62-4650-8866-676709b89aee,2.52757935,2.366655072,3.080803616,3.086507859
EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,3.859100439,2.188840472,4.296383965,4.492216538
eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,2.311733525,2.425373401,2.908263007,3.640752432
