,target_id,source_id,rmse,spear,glm_uncal_rmse,glm_source_id,glm_source_rmse,glm_source_spear
40,test_nhdhr_120018088,nhdhr_1101590,2.396848696530567,0.8763470023319674,2.884093013,34119747,3.9642910766503197,3.9642910766503197
41,test_nhdhr_120019354,nhdhr_120019371,2.9978962740196087,0.903671729049865,4.724214475,143398250,5.96692136071355,5.96692136071355
42,test_nhdhr_121622394,nhdhr_120020354,2.2528869024804123,0.9300270420639952,4.196566140756488,139269431,2.78050417610843,2.78050417610843
43,test_nhdhr_129225129,nhdhr_152335372,2.2076945233260745,0.7190491783372863,3.28418952215177,155635994,1.43805850030067,1.43805850030067
44,test_nhdhr_143249294,nhdhr_166867866,2.9456347830346465,0.8640014093324483,2.4133461819999997,143249192,2.44652688080844,2.44652688080844
45,test_nhdhr_143251029,nhdhr_166867866,2.185013512673708,0.8956616248528213,2.21331135,121623043,3.3603796198205695,3.3603796198205695
46,test_nhdhr_69886284,nhdhr_143249192,2.0564316534597453,0.9476078671803696,2.036499549,120018133,3.06791048076005,3.06791048076005
47,test_nhdhr_69886444,nhdhr_143249192,1.823892532089772,0.8982712785810332,1.710986537,120018114,3.02927494105235,3.02927494105235
48,test_nhdhr_70332035,nhdhr_120018459,2.926660792146697,0.5702133207793927,1.981477713,120020199,-999.0,-999.0
49,test_nhdhr_143250615,nhdhr_120018459,1.908731424150652,0.6204556244407707,8.769664648745271,143249864,2.07305503962981,2.07305503962981
50,test_nhdhr_143418975,nhdhr_120020343,3.0758619702539436,0.9126850868540932,2.9279049654570195,120020836,4.19964835207072,4.19964835207072
51,test_nhdhr_109981506,nhdhr_81002103,2.136348289751264,0.7887076242297689,2.652366583,143249864,2.53365065778137,2.53365065778137
52,test_nhdhr_155636695,nhdhr_80005045,1.6955179707605883,0.8131679026525508,3.1212432750187995,81002103,7.54441122199134,7.54441122199134
53,test_nhdhr_155637270,nhdhr_74924599,1.8934009740077231,0.8203817738280196,3.431154370044565,45722930,1.8019770862706,1.8019770862706
54,test_nhdhr_167258106,nhdhr_120020354,2.9966225487279723,0.9003554185150056,3.4605266551944003,120018211,3.7828110245917403,3.7828110245917403
55,test_nhdhr_45337659,nhdhr_120020204,1.4915186627028043,0.876237520291501,2.333950679,120018459,4.06653242960246,4.06653242960246
56,test_nhdhr_120018226,nhdhr_12160852,1.8629527541335984,0.7178627911351396,2.2703345,91684663,2.19723009623277,2.19723009623277
57,test_nhdhr_91597267,nhdhr_1101590,1.6412162630202751,0.883949037105454,3.075116178,120018459,2.4964487116213103,2.4964487116213103
58,test_nhdhr_34126579,nhdhr_120051922,1.829551205263584,0.5096916488094824,7.231509638804438,34126002,1.9726070694599998,1.9726070694599998
59,test_nhdhr_34127389,nhdhr_34131807,3.821896016394001,0.6562542610907796,4.218278119784531,34126002,2.7994189916515397,2.7994189916515397
60,test_nhdhr_34127672,nhdhr_91688409,2.08191913763915,0.7684852960643196,5.143132413549858,91690341,3.3542789212629103,3.3542789212629103
61,test_nhdhr_34127918,nhdhr_91685475,2.0004854652764767,0.4163432799425916,2.866450531683603,34126002,2.2651943797552003,2.2651943797552003
62,test_nhdhr_34128205,nhdhr_120020204,2.0740079813881445,0.7944862853838489,1.9531761507048744,34126002,3.41612087138735,3.41612087138735
63,test_nhdhr_34128651,nhdhr_120018070,2.465717370077438,0.4508878495836199,11.229838554803429,34126002,2.6445085879768904,2.6445085879768904
64,test_nhdhr_34130818,nhdhr_120020374,2.6045219716006853,0.76263099277319,2.7167912932547837,91691293,3.7258189213333703,3.7258189213333703
65,test_nhdhr_34130988,nhdhr_1101504,1.8731273573528244,0.8015488722852186,3.5442652319436614,120018459,2.07623968880223,2.07623968880223
66,test_nhdhr_34131145,nhdhr_91688409,2.6991053596554684,0.8810009843430728,8.447547602368244,91690341,1.81201139271986,1.81201139271986
67,test_nhdhr_34132376,nhdhr_1101504,1.4346181191259315,0.8954864535880749,4.2166133205088165,120018074,3.13193755127973,3.13193755127973
68,test_nhdhr_37647805,nhdhr_91690341,1.8646855564149116,0.5764637499987558,5.3625843178511365,34126002,2.77221342818346,2.77221342818346
69,test_nhdhr_45365491,nhdhr_86275195,2.137715726150132,0.8948235895976135,2.660177901,34131278,2.9475862664306,2.9475862664306
