target_id,source_id,predicted_rmse , n_obs ,  obs_temp_mean ,  obs_temp_skew , obs_temp_kurt ,        obs_temp_mean_airdif ,  dif_max_depth ,  dif_surface_area ,        dif_sw_mean_au ,  dif_ws_mean_au ,  dif_lathrop_strat , dif_glm_strat_perc ,  ad_glm_strat_perc,         perc_dif_max_depth ,  perc_dif_surface_area
nhdhr_77358322,nhdhr_34119718,-0.2848258131150443,151.0,20.961111111111112,1.2543572013624849,1.8729390167781208,14.280818782856615,-3.3557330000000003,-7668267.60299769,7.2633435390221734,-0.4807776475316503,0,-0.12832571889277078,0.12832571889277078,104.90161799237154,135.05568536628255
nhdhr_77358772,nhdhr_34124239,0.7424842484103759,354.0,20.2922969837587,0.717115436258043,0.23029280363887317,13.278638654181876,-0.9144000000000001,-625621.39256151,7.379786176913029,-0.5130343150928014,0,0.011959150765923132,0.011959150765923132,26.08695652173913,35.89523512362223
nhdhr_80001607,nhdhr_121623126,0.927172447982767,935.0,17.344831223628695,0.4770597906010585,1.0664984701413867,8.78589325356117,2.4384000000000006,-42665.901449533994,15.989650546261117,-0.5574638826369336,1,0.19087610857296428,0.19087610857296428,36.36363636363637,6.590856849475027
nhdhr_80001667,nhdhr_120018459,0.7504133234284475,2117.0,18.34281994704325,0.22043091873313572,0.8579318144401524,12.795874407368135,0.0,3304542.7494955105,14.93739255976223,0.01740460441270386,-1,-0.16756248320343992,0.16756248320343992,0.0,106.10833127048818
nhdhr_80001697,nhdhr_32672122,1.682314155246179,3865.0,14.405997587454765,0.21013084162090526,1.1007087992102822,6.733178831266315,-0.3048000000000002,-7911.8827280310215,14.57009609045619,-0.13075236282087577,0,-0.004031174415479732,0.004031174415479732,3.3898305084745783,2.1208804205891956
nhdhr_80001793,nhdhr_137059882,0.9976600440505032,422.0,20.388158295281585,1.8953342372838142,3.9510313796117345,12.417083967843471,-3.6576,297754.65506896307,13.255168314203246,-0.4803552961109201,0,-0.18019349637194298,0.18019349637194298,85.71428571428572,41.66934973187541
nhdhr_80002167,nhdhr_152335372,1.3920392218806075,2656.0,15.107334586466166,0.5919896077932533,0.7980783468383539,5.81417766235373,9.122399999999999,-834931.6851493097,16.235420805186436,-0.7835332107307922,0,0.058048911582907814,0.058048911582907814,57.59527236911887,33.77399646494587
nhdhr_80002285,nhdhr_139268769,1.4782032706991963,2370.0,19.5630754857997,0.5199060812590769,0.2799363026102153,11.706590684963132,-3.6576000000000004,53436.50470958301,34.541639671098096,-0.13011380309380804,-1,-0.028755710830421832,0.028755710830421832,44.44444444444444,6.435943741681776
nhdhr_80002783,nhdhr_143249413,1.058351546921605,1417.0,13.007818559556787,0.4603173429324215,1.125561607866869,4.790577783159348,-1.828800000000001,404877.2688275259,12.162176823168238,-0.5547156855782536,0,-0.14975812953507117,0.14975812953507117,9.375000000000005,44.08468721186047
nhdhr_80003061,nhdhr_120018100,1.3337701348569901,8169.0,11.18763000122354,0.9023820565977191,0.21974609071761897,3.9601468383249996,-9.144000000000002,242657.22831073008,8.939468506649433,-0.7121528106779098,0,-0.03621338349905934,0.03621338349905934,28.57142857142858,15.397302835012713
nhdhr_80003979,nhdhr_143249192,1.370476309224196,2786.0,10.081771570014144,1.0219477321978971,0.18984499063889215,2.0643134494462174,16.4512,3302336.8593845,12.130704200615895,-0.4660827501642526,0,-0.09896533190002688,0.09896533190002688,80.5420648597838,100.15069097688158
nhdhr_80004111,nhdhr_120018114,1.713922354009715,11422.0,14.450159064891244,0.3841499669791436,0.9913736182605315,7.390822242644685,11.3,102516130.8878082,12.134578170014635,-0.45532867824103906,0,-0.05858640150497185,0.05858640150497185,44.40078585461689,167.39112068324638
nhdhr_80004215,nhdhr_120018100,1.6786300834897143,8169.0,11.18763000122354,0.9023820565977191,0.21974609071761897,3.9601468383249996,-14.325599999999998,-5837309.756785691,9.667550555385105,-0.7104414530562324,0,0.07350174684224675,0.07350174684224675,41.409691629955944,126.45939461970038
nhdhr_80004303,nhdhr_91685475,2.2576600723020936,1032.0,11.912661737523106,0.9330864615648485,0.3042809045820616,5.208146840155888,-1.5239999999999991,25782.108451623993,7.706158472145319,-0.6508438990070515,0,0.006785810266057513,0.006785810266057513,9.900990099009896,15.103436654462717
nhdhr_80004309,nhdhr_45728298,1.4620491790622583,1763.0,12.293598258029395,0.2603856232375068,1.156231960777775,5.463303885717024,-3.6576000000000004,2417.8009595179465,10.243483919903923,-0.5019881001495898,0,-0.04931470034936847,0.04931470034936847,24.000000000000004,0.45724181407883635
nhdhr_80004325,nhdhr_143249864,2.3566305905789076,2096.0,16.501963861150738,0.10058548886678512,1.0192346782814947,8.25495690981703,1.0679999999999996,106936.40033177298,11.480523224810128,-0.5417083984747579,0,-0.015116904058048886,0.015116904058048886,10.538780343398455,51.15516804512822
nhdhr_80004579,nhdhr_45722930,1.4842858084172998,2253.0,12.985797291393622,0.27524315790873766,1.1958246159198958,6.858262359508087,13.106400000000002,4506.652002583025,10.775171820630902,-0.13095572061347482,0,0.17884977156678306,0.17884977156678306,65.64885496183207,0.46456184469661577
nhdhr_80004607,nhdhr_155635994,0.4793438122644682,2212.0,14.170081264108353,0.6492587384660081,1.022788316525949,5.033986300198212,-2.7432000000000016,1016586.2653630599,16.626996498959954,-0.5429118331455913,0,-0.19631819403386197,0.19631819403386197,11.320754716981138,37.80032895404272
nhdhr_80005205,nhdhr_120020343,1.6879823803859357,1608.0,18.155676077265976,0.30570493512332225,0.6384264282160079,11.4662823369341,3.6575999999999995,8643627.193198154,7.10447948437286,-0.5431515441432571,-1,-0.180999731255039,0.180999731255039,40.0,177.54793381980178
nhdhr_80005293,nhdhr_143249413,1.8323499474881229,1417.0,13.007818559556787,0.4603173429324215,1.125561607866869,4.790577783159348,-3.007200000000001,76440.63032059988,9.230434219288782,-0.2697638464836505,0,-0.15735017468422463,0.15735017468422463,14.963874126709264,7.06066654887747
nhdhr_80005395,nhdhr_91688409,2.5064490483070485,938.0,12.219027303754267,0.6534070720515129,0.9024429405833714,5.4381903749679035,-4.571999999999999,44733.250379342004,6.813323265561706,-0.5276199190867659,0,-0.051934963719430294,0.051934963719430294,37.03703703703703,25.841007454147167
nhdhr_80005553,nhdhr_141288680,2.2413450562410198,6870.0,12.013991283565304,0.7688528339178602,0.4206242964915967,3.9103879589935673,-0.9120000000000026,6726.203835719032,6.7309061322213495,-0.4751224871647266,0,-0.1216070948669713,0.1216070948669713,4.711717296962195,0.8397467404629169
nhdhr_80005831,nhdhr_139268769,1.2644369000129703,2370.0,19.5630754857997,0.5199060812590769,0.2799363026102153,11.706590684963132,-0.6095999999999995,447141.016849295,33.407273231207824,0.12410553951525127,-1,-0.12328675087342111,0.12328675087342111,9.090909090909083,70.59042879323697
