target_nhd_id,pg1,pg2,pg3,pgAvg,rn1,rn2,rn3,rnAvg
2723803,2.7812815,2.2331674,2.2592666,2.7812815,2.8600109,3.1564825,3.0534506,2.8600109
1101942,1.6202921,2.3649585,1.9061202,1.6202921,2.0419466,3.7805128,2.0719833,2.0419466
120052022,1.5660304,1.5085509,1.5990151,1.5660304,1.5510753,1.4741845,1.5926893,1.5510753
9022741,1.6429119,1.3554146,1.6019202,1.6429119,1.5558796,1.4823592,1.6557182,1.5558796
2723765,1.6407672,2.0467534,1.6621246,1.6407672,2.675811,2.9271011,2.1981494,2.675811
13344170,1.164548,1.1371056,1.2096905,1.164548,1.2195524,1.2057307,1.0986844,1.2195524
1099136,1.5265838,1.893942,1.847767,1.5265838,1.6521068,1.7601827,2.0938814,1.6521068
1097324,1.2991383,1.5154984,1.7190722,1.2991383,1.7743009,1.6023947,1.7965034,1.7743009
12162854,1.9997438,2.1226418,2.100608,1.9997438,2.2328491,2.1909382,2.1187708,2.2328491
1101590,2.1488695,2.1411173,2.0271797,2.1488695,2.4072642,2.047383,2.1005304,2.4072642
1099172,1.0880826,1.2289399,1.3856703,1.0880826,1.073819,1.4071573,1.2247976,1.073819
13344210,0.95573854,1.3003216,1.076959,0.95573854,1.0932672,1.1457903,1.0582628,1.0932672
1101616,1.4321588,1.4726423,1.3441216,1.4321588,1.5155964,1.4978098,1.4476461,1.5155964
2647582,1.9360968,1.4457744,1.5684868,1.9360968,2.0405989,1.4657878,1.8956368,2.0405989
1100962,1.4391366,1.4001333,1.5772157,1.4391366,1.4253671,1.8420839,1.7943573,1.4253671
13343906,0.9321744,0.94539374,0.87066406,0.9321744,1.1238456,0.9971979,0.9127358,1.1238456
120052233,1.8754398,1.9290545,1.7536933,1.8754398,1.8226335,1.8239369,1.6875907,1.8226335
13344284,1.2367756,1.3567961,1.3180934,1.2367756,1.4159149,1.4288383,1.4885553,1.4159149
1101754,1.2502834,1.1909503,1.339167,1.2502834,1.4735346,1.363269,1.2529391,1.4735346
1101684,1.2740668,1.2703615,1.2668407,1.2740668,1.0880585,1.1955754,1.4241638,1.0880585
1101938,2.644156,2.3080628,2.4816437,2.644156,2.2316391,2.464129,2.9009907,2.2316391
1099430,1.505739,1.3498226,1.3926506,1.505739,1.6591417,1.8388218,1.6464913,1.6591417
120051922,1.7848729,1.8822854,1.7458876,1.7848729,1.5852857,1.5494074,1.7874167,1.5852857
1102086,1.8654038,1.5637376,1.9479969,1.8654038,2.011551,1.871753,2.4021962,2.011551
2723871,2.0871341,2.2071395,1.6829455,2.0871341,1.99297,2.3305426,1.7177927,1.99297
1101504,1.8051271,1.6775062,1.6760873,1.8051271,1.8167475,1.930758,1.9293268,1.8167475
1101864,1.6474568,1.7031659,1.8027278,1.6474568,2.0972154,1.4797933,1.6648408,2.0972154
1099432,1.3901,1.3818254,1.4110491,1.3901,1.3992469,1.4160026,1.31978,1.3992469
