,PGMTL,GLM_uncal,GLM_uncal (on test),,stratified,> max depth,< min depth,> max sa,< min sa
34127918,2.619632534,3.009052712,3.009052712,-0.3894201783,TRUE,FALSE,FALSE,FALSE,TRUE
120019371,3.017869649,3.392658016,3.392658016,-0.3747883667,FALSE,FALSE,FALSE,FALSE,FALSE
91687083,2.502104139,2.846081456,2.846081456,-0.3439773171,FALSE,FALSE,TRUE,FALSE,FALSE
120018129,3.615251909,3.935542477,3.935542477,-0.3202905685,FALSE,FALSE,FALSE,FALSE,FALSE
91595175,1.797952772,2.114309738,2.114309738,-0.3163569667,TRUE,FALSE,FALSE,FALSE,TRUE
58125641,2.640269835,2.954817895,2.954817895,-0.3145480594,FALSE,FALSE,FALSE,FALSE,FALSE
34127672,3.689418383,3.987161988,3.987161988,-0.2977436054,TRUE,FALSE,FALSE,FALSE,FALSE
34130489,3.108971514,3.396064026,3.396064026,-0.2870925112,FALSE,FALSE,TRUE,FALSE,FALSE
91690341,2.702984837,2.960119104,2.960119104,-0.2571342664,TRUE,FALSE,FALSE,FALSE,TRUE
91595523,3.787572191,4.042984237,4.042984237,-0.2554120465,TRUE,FALSE,TRUE,FALSE,TRUE
120018123,1.670955243,1.925486042,1.925486042,-0.2545307995,TRUE,FALSE,FALSE,FALSE,FALSE
34133814,3.166464459,3.41936311,3.41936311,-0.2528986518,TRUE,FALSE,FALSE,FALSE,TRUE
143249192,2.184392899,2.43678799,2.43678799,-0.252395091,TRUE,FALSE,FALSE,FALSE,FALSE
72863203,1.511299425,1.76309883,1.76309883,-0.2517994051,TRUE,FALSE,FALSE,FALSE,FALSE
45722930,2.040601837,2.239249573,2.239249573,-0.1986477356,TRUE,FALSE,FALSE,FALSE,FALSE
120019246,2.207609057,2.396020195,2.396020195,-0.1884111386,FALSE,FALSE,FALSE,FALSE,FALSE
120018131,1.642696503,1.790565433,1.790565433,-0.1478689302,TRUE,FALSE,FALSE,FALSE,FALSE
120020402,4.596112463,4.707567216,4.707567216,-0.1114547536,TRUE,FALSE,FALSE,FALSE,FALSE
120018307,4.23456733,4.287500786,4.287500786,-0.05293345554,TRUE,FALSE,FALSE,FALSE,FALSE
143398250,5.329632192,5.370769761,5.370769761,-0.04113756876,FALSE,FALSE,TRUE,FALSE,FALSE
91594827,2.887467341,2.912735665,2.912735665,-0.02526832408,TRUE,FALSE,TRUE,FALSE,FALSE
120018078,2.910776895,2.934481252,2.934481252,-0.0237043573,FALSE,FALSE,TRUE,FALSE,FALSE
91691293,3.102873355,3.123401237,3.123401237,-0.02052788157,FALSE,FALSE,TRUE,FALSE,FALSE
120018126,3.353573362,3.339008476,3.339008476,0.01456488538,TRUE,FALSE,FALSE,FALSE,FALSE
34243470,1.744222993,1.724145308,1.724145308,0.02007768451,FALSE,FALSE,FALSE,FALSE,FALSE
91684979,1.945719513,1.924801568,1.924801568,0.02091794587,TRUE,FALSE,FALSE,FALSE,FALSE
